percent_adult_covid_admissions,percent_pediatric_covid_admissions,percent_hospitals_previous_day_admission_adult_covid_confirmed,percent_hospitals_previous_day_admission_pediatric_covid_confirmed,percent_hospitals_previous_day_admission_influenza_confirmed,percent_hospitals_total_patients_hospitalized_confirmed_influenza,percent_hospitals_icu_patients_confirmed_influenza,percent_hospitals_inpatient_beds,percent_hospitals_total_icu_beds,percent_hospitals_inpatient_beds_used,percent_hospitals_icu_beds_used,percent_hospitals_percent_inpatient_beds_occupied,percent_hospitals_percent_staff_icu_beds_occupied,percent_hospitals_percent_inpatient_beds_covid,percent_hospitals_percent_inpatient_beds_influenza,percent_hospitals_percent_staff_icu_beds_covid,percent_hospitals_percent_icu_beds_influenza,percent_hospitals_admissions_all_covid_confirmed,percent_hospitals_total_patients_hospitalized_covid_confirmed,percent_hospitals_staff_icu_patients_covid_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_total_patients_hospitalized_influenza_confirmed,avg_staff_icu_patients_covid_confirmed,avg_icu_patients_influenza_confirmed,avg_inpatient_beds,avg_total_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,avg_percent_inpatient_beds_occupied,avg_percent_staff_icu_beds_occupied,avg_percent_inpatient_beds_covid,avg_percent_inpatient_beds_influenza,avg_percent_staff_icu_beds_covid,avg_percent_icu_beds_influenza,total_admissions_all_influenza_confirmed,total_admissions_all_covid_confirmed,total_admissions_pediatric_covid_confirmed,total_admissions_adult_covid_confirmed,latitude,longitude,year,month,day
0.9228,0.0772,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,161.0,43.0,24.0,7.0,5586.0,897.0,3442.0,598.0,0.6162,0.6662,0.0288,0.0078,0.0266,0.008,63.0,272.0,21.0,251.0,39.41922,-111.950684,2022.0,12.0,31.0
0.981,0.019,0.972,0.972,0.486,0.486,0.486,0.972,0.972,0.972,0.9626,0.972,0.9626,0.972,0.486,0.972,0.486,0.972,0.972,0.9626,534.0,5.0,175.0,1.0,17821.0,3273.0,12087.0,2282.0,0.6783,0.698,0.03,0.0006,0.0535,0.0009,1.0,580.0,11.0,569.0,35.860119,-86.660156,2021.0,7.0,31.0
0.88,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,23.0,2.0,4.0,3833.0,581.0,2987.0,324.0,0.7791,0.5574,0.0095,0.006,0.0027,0.0071,40.0,25.0,3.0,22.0,34.307144,-106.018066,2024.0,4.0,13.0
0.9655,0.0345,0.98,0.98,0.9486,0.9514,0.9514,0.98,0.98,0.98,0.9771,0.98,0.9771,0.98,0.9514,0.98,0.9514,0.98,0.98,0.9771,3289.0,19.0,888.0,2.0,58275.0,10282.0,45928.0,7452.0,0.788,0.725,0.0564,0.0003,0.0864,0.0002,16.0,2435.0,84.0,2351.0,36.778259,-119.417931,2021.0,11.0,27.0
0.9071,0.0929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,14.0,9.0,1.0,7386.0,1214.0,5537.0,759.0,0.7496,0.6255,0.0124,0.0018,0.0071,0.0011,26.0,140.0,13.0,127.0,41.599998,-72.699997,2022.0,4.0,9.0
0.9502,0.0498,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,258.0,85.0,41.0,16.0,10373.0,1599.0,6822.0,978.0,0.6577,0.6118,0.0249,0.0082,0.0255,0.0102,219.0,402.0,20.0,382.0,39.113014,-105.358887,2023.0,12.0,23.0
0.9528,0.0472,0.9743,0.9714,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,1252.0,137.0,155.0,7.0,58398.0,9791.0,44126.0,6460.0,0.7555,0.6598,0.0214,0.0024,0.0158,0.0008,251.0,1568.0,74.0,1494.0,36.778259,-119.417931,2022.0,5.0,21.0
0.9309,0.0691,0.9889,0.9889,0.8778,0.8778,0.8778,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.8778,0.9889,0.8778,0.9889,0.9889,0.9889,1619.0,14.0,411.0,3.0,10329.0,1775.0,7273.0,1213.0,0.7041,0.6835,0.1568,0.0016,0.2313,0.0022,9.0,2083.0,144.0,1939.0,39.113014,-105.358887,2022.0,1.0,29.0
0.9288,0.0712,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,750.0,14.0,105.0,1.0,17568.0,3324.0,12741.0,2270.0,0.7252,0.6831,0.0427,0.0008,0.0314,0.0004,14.0,758.0,54.0,704.0,35.860119,-86.660156,2022.0,9.0,10.0
0.9487,0.0513,0.9577,0.9577,0.9577,0.9577,0.9577,0.9507,0.9577,0.9507,0.9577,0.9507,0.9577,0.9507,0.9507,0.9577,0.9577,0.9577,0.9577,0.9577,834.0,591.0,144.0,228.0,20651.0,3033.0,16417.0,2503.0,0.795,0.8254,0.0404,0.0286,0.0474,0.0752,482.0,858.0,44.0,814.0,33.247875,-83.441162,2024.0,1.0,27.0
