Actual,Predicted_XGB
32.9,33.785927
4.9,4.5416036
2.2,2.1999724
4.4,3.7653496
3.1,4.716166
7.8,7.8314304
6.2,6.1143346
29.5,29.017397
3.8,3.5600095
5.3,6.4546394
1.3,1.5551451
5.6,5.5489326
4.8,4.74715
2.7,3.3465674
8.6,7.45366
4.8,4.889319
0.9,1.1546903
1.2,1.6777235
4.8,4.675729
12.1,13.123941
5.1,6.219771
1.5,0.87818784
20.2,20.487328
1.8,1.7229136
10.3,8.831211
22.9,22.423904
4.9,5.3206105
28.6,25.552664
1.0,1.083053
5.7,6.9255743
10.2,10.764727
20.6,20.95613
1.2,1.0805149
7.5,6.926412
7.9,7.87356
10.0,11.751812
2.6,1.646722
3.8,4.0054016
1.8,2.596004
13.2,13.11749
6.5,7.2315936
4.3,4.5887833
6.1,6.7493176
7.6,7.6245556
5.5,5.2146893
7.9,8.757809
3.6,3.8742092
6.5,4.8684106
5.4,5.52455
23.8,21.72157
18.1,17.849876
8.4,8.39535
15.1,14.978443
2.7,2.6834087
15.1,15.738212
58.2,58.19746
18.3,17.63382
3.9,3.7492168
4.9,4.762532
2.0,3.2168028
5.7,5.7964787
8.8,8.556875
12.7,13.584658
12.4,13.087321
11.0,10.606868
4.4,3.055711
12.3,10.276068
13.3,11.946848
19.3,20.529633
5.3,5.204141
2.6,2.342283
8.1,7.6732445
4.5,4.599343
8.9,8.119044
6.2,5.888837
3.1,2.367456
4.3,4.2830114
2.8,3.5172415
2.9,3.144011
8.4,10.537038
5.0,5.331123
4.2,4.152748
6.3,7.4919953
3.4,3.5772781
1.5,2.0461
1.7,1.8385861
34.2,33.580032
0.6,1.4454962
28.8,29.07656
10.4,8.968609
10.7,10.188312
4.2,3.4928641
1.7,2.160914
1.7,2.4765496
8.2,7.1984954
16.6,18.796505
3.0,2.8382032
14.1,12.646114
3.1,3.6452527
10.7,10.918306
2.6,2.5702262
1.9,1.8986814
7.1,6.6034174
23.0,24.203743
2.2,2.6977062
6.8,7.158841
19.8,20.600037
4.9,4.7870126
12.6,12.176244
2.0,2.4863262
1.4,1.9523783
9.7,10.460867
3.7,4.233232
6.1,5.8962636
21.0,20.130354
2.2,1.7366608
2.4,3.1073499
4.9,4.8662114
23.0,23.080292
5.3,5.362972
11.2,12.265705
1.7,0.600667
7.0,8.407836
6.2,5.801487
1.7,1.5678731
38.8,38.728203
9.6,8.952534
12.1,13.002452
4.6,5.3595753
18.8,17.190844
16.9,17.760021
2.8,2.8850608
8.8,8.193503
12.1,12.933206
20.5,20.536676
1.1,1.1233732
2.6,2.5149715
19.1,19.327673
34.6,31.830824
3.8,2.8808136
10.8,11.002014
19.9,19.718546
12.2,11.877449
4.3,3.862528
14.1,12.400009
2.5,2.6701658
3.3,3.4302764
3.5,4.1897335
5.1,6.4871306
4.3,4.1826677
11.5,12.461883
4.8,5.0976043
13.2,12.1677685
9.3,8.970589
3.5,3.8277032
2.4,2.350973
5.1,5.3288345
7.1,8.403276
4.8,4.9449263
4.2,4.295718
9.9,8.84167
9.5,8.106719
4.3,4.404731
3.7,4.4434147
13.4,14.792221
26.1,25.512625
4.9,5.4696927
6.4,8.026437
3.2,4.349754
2.7,2.734496
4.6,3.9793522
7.8,8.307891
6.3,5.7544646
9.9,8.59222
9.7,9.849679
8.1,7.9029064
2.6,2.3978972
18.5,18.84728
33.9,32.34703
4.7,4.4516106
20.1,20.214216
10.7,10.265622
4.1,3.6344929
6.2,6.0148826
3.8,3.2021909
3.3,3.8100479
12.8,13.870691
6.0,6.1686935
3.6,2.6669338
5.3,5.481744
3.3,3.943878
5.7,5.343942
1.0,0.94161224
26.8,27.199432
15.0,14.314127
3.4,2.5114355
10.7,11.155516
1.2,1.4946325
1.4,1.5575038
9.6,10.216942
1.0,1.3164513
6.2,5.936556
3.1,4.005169
13.8,12.145916
10.1,9.41662
10.0,11.0689
9.0,9.251933
2.3,2.806753
7.1,5.8855357
4.8,5.493116
5.1,4.7299094
3.9,4.6753435
6.2,7.964741
2.2,2.6399798
1.5,2.3567739
1.9,1.5624921
24.1,25.124556
8.7,8.369139
5.2,4.5542603
5.8,5.0805306
